,Unnamed: 0_atm,交易日期,行权价_atm,成交量(手)_atm,到期剩余天数_atm,期权代码_atm,收盘价_atm,到期ETF收盘价_atm,现期ETF收盘价_atm,monthly_RV_atm,option_type_atm,期权收益率_atm,IV_atm,在值程度_atm,Unnamed: 0_otm,行权价_otm,成交量(手)_otm,到期剩余天数_otm,期权代码_otm,收盘价_otm,到期ETF收盘价_otm,现期ETF收盘价_otm,monthly_RV_otm,option_type_otm,期权收益率_otm,IV_otm,在值程度_otm,Return
20,28,2016-03-28,2.1,10671.0,30,10000583.SH,0.06,2.144,2.121,0.2399740689438347,put,-1.0,0.2978329824697375,1,117,2.05,8098.0,30,10000582.SH,0.04,2.144,2.121,0.2399740689438347,put,-1.0,0.2992105643309951,0.97,-1.0
21,29,2016-03-29,2.1,12074.0,29,10000583.SH,0.06,2.144,2.104,0.2423600787367005,put,-1.0344827586206895,0.2704361980342865,1,122,2.05,8160.0,29,10000582.SH,0.04,2.144,2.104,0.2423600787367005,put,-1.0344827586206895,0.2779026297335029,0.97,-1.0344827586206897
22,30,2016-03-30,2.15,17424.0,28,10000584.SH,0.06,2.144,2.158,0.2486687777343064,put,-0.964285714285718,0.2765044246754646,1,128,2.1,13149.0,28,10000583.SH,0.04,2.144,2.158,0.2486687777343064,put,-1.0714285714285714,0.2823532467289268,0.97,-0.7500000000000115
23,31,2016-03-31,2.15,14550.0,27,10000584.SH,0.06,2.144,2.156,0.24533660409671,put,-1.000000000000004,0.2773517638819218,1,134,2.1,8578.0,27,10000583.SH,0.04,2.144,2.156,0.24533660409671,put,-1.1111111111111112,0.2841281529535948,0.97,-0.7777777777777899
24,32,2016-04-01,2.15,19071.0,26,10000584.SH,0.06,2.144,2.165,0.2122708360294263,put,-1.0384615384615423,0.3001330053523182,1,140,2.1,11785.0,26,10000583.SH,0.04,2.144,2.165,0.2122708360294263,put,-1.1538461538461535,0.3037270444259643,0.97,-0.8076923076923201
25,33,2016-04-05,2.15,1163.0,50,10000608.SH,0.09,2.074,2.175,0.2123783613207017,put,-0.0933333333333328,0.329987168853879,1,144,2.1,1215.0,50,10000607.SH,0.06,2.074,2.175,0.2123783613207017,put,-0.3399999999999975,0.3026408695273101,0.97,0.3999999999999964
26,34,2016-04-06,2.15,869.0,49,10000608.SH,0.09,2.074,2.165,0.1839685439602058,put,-0.0952380952380947,0.3192246019466518,1,147,2.1,785.0,49,10000607.SH,0.07,2.074,2.165,0.1839685439602058,put,-0.3848396501457705,0.3272497673066258,0.97,0.9183673469387709
27,35,2016-04-07,2.15,1456.0,48,10000608.SH,0.1,2.074,2.139,0.1881403198887826,put,-0.1499999999999995,0.3157084065001606,1,149,2.05,869.0,48,10000606.SH,0.05,2.074,2.139,0.1881403198887826,put,-0.625,0.2966036372859179,0.96,0.32500000000000084
28,36,2016-04-08,2.1,1565.0,47,10000607.SH,0.07,2.074,2.124,0.1898234267456848,put,-0.4012158054711224,0.2792123219383061,1,152,2.05,796.0,47,10000606.SH,0.05,2.074,2.124,0.1898234267456848,put,-0.6382978723404256,0.2818674095122813,0.97,0.19148936170213535
29,37,2016-04-11,2.15,2103.0,44,10000608.SH,0.09,2.074,2.144,0.1917268286805737,put,-0.1060606060606055,0.3031664034175276,1,154,2.05,1532.0,44,10000606.SH,0.04,2.074,2.144,0.1917268286805737,put,-0.6818181818181818,0.2765895996702611,0.96,0.3545454545454556
30,38,2016-04-12,2.15,1780.0,43,10000608.SH,0.08,2.074,2.142,0.1723668604674589,put,-0.0348837209302319,0.2690265488901734,1,157,2.05,1234.0,43,10000606.SH,0.04,2.074,2.142,0.1723668604674589,put,-0.6976744186046512,0.2772976428915262,0.96,0.6279069767441873
31,39,2016-04-13,2.15,4205.0,42,10000608.SH,0.06,2.074,2.168,0.1757955224885094,put,0.1904761904761913,0.2441807823709547,1,161,2.1,3856.0,42,10000607.SH,0.04,2.074,2.168,0.1757955224885094,put,-0.2499999999999956,0.245536727756977,0.97,1.0714285714285654
32,40,2016-04-14,2.2,1408.0,41,10000609.SH,0.08,2.074,2.174,0.1755624323134291,put,0.4207317073170762,0.2376367320884466,1,164,2.1,2411.0,41,10000607.SH,0.04,2.074,2.174,0.1755624323134291,put,-0.2560975609756052,0.255717494017452,0.97,1.0975609756097577
33,41,2016-04-15,2.2,2774.0,40,10000609.SH,0.08,2.074,2.178,0.1729909033239922,put,0.4312500000000031,0.2476465523131788,1,168,2.1,2379.0,40,10000607.SH,0.04,2.074,2.178,0.1729909033239922,put,-0.2624999999999954,0.2636319736074209,0.96,1.1250000000000018
34,42,2016-04-18,2.15,4588.0,37,10000608.SH,0.06,2.074,2.154,0.1686793653442378,put,0.2162162162162172,0.2359874127875268,1,172,2.1,2310.0,37,10000607.SH,0.04,2.074,2.154,0.1686793653442378,put,-0.2837837837837788,0.2419476954709887,0.97,1.2162162162162093
35,43,2016-04-19,2.15,4057.0,36,10000608.SH,0.06,2.074,2.161,0.1688152104000855,put,0.2222222222222233,0.2508510752279758,1,175,2.1,1506.0,36,10000607.SH,0.04,2.074,2.161,0.1688152104000855,put,-0.2916666666666616,0.2546732211631238,0.97,1.2499999999999931
36,45,2016-04-21,2.15,8726.0,34,10000608.SH,0.07,2.074,2.146,0.1473595890364776,put,0.075630252100841,0.2692013096212744,1,180,2.05,9047.0,34,10000606.SH,0.03,2.074,2.146,0.1473595890364776,put,-0.8823529411764706,0.2700242109355927,0.96,0.7941176470588246
37,46,2016-04-22,2.15,8376.0,33,10000608.SH,0.06,2.074,2.156,0.1444461428278896,put,0.2424242424242435,0.2524276172940135,1,184,2.1,5000.0,33,10000607.SH,0.04,2.074,2.156,0.1444461428278896,put,-0.3181818181818126,0.2582470542722941,0.97,1.363636363636356
38,47,2016-04-25,2.15,11668.0,30,10000608.SH,0.06,2.074,2.145,0.1452893611797619,put,0.2666666666666679,0.2426851833720505,1,186,2.05,6220.0,30,10000606.SH,0.02,2.074,2.145,0.1452893611797619,put,-1.0,0.234249640237987,0.96,0.9000000000000019
39,49,2016-04-27,2.15,14768.0,28,10000608.SH,0.06,2.074,2.144,0.1376023813586203,put,0.2857142857142871,0.2485387141900957,1,192,2.05,5489.0,28,10000606.SH,0.02,2.074,2.144,0.1376023813586203,put,-1.0714285714285714,0.240831539451003,0.96,0.9642857142857163
40,50,2016-04-28,2.15,25275.0,27,10000608.SH,0.06,2.074,2.142,0.1318058537482821,put,0.2962962962962977,0.2485335881932079,1,195,2.05,8686.0,27,10000606.SH,0.02,2.074,2.142,0.1318058537482821,put,-1.1111111111111112,0.2424512352582812,0.96,1.0000000000000022
41,51,2016-04-29,2.15,15210.0,26,10000608.SH,0.06,2.074,2.135,0.1290755275562051,put,0.3076923076923091,0.2372777334924638,1,198,2.05,7039.0,26,10000606.SH,0.02,2.074,2.135,0.1290755275562051,put,-1.1538461538461535,0.2374421826251745,0.96,1.0384615384615405
42,52,2016-05-03,2.15,2995.0,50,10000460.SH,0.07,2.124,2.1590000000000003,0.1028116157795081,put,-0.3771428571428588,0.2445335224823653,1,201,2.1,1666.0,50,10000524.SH,0.04,2.124,2.1590000000000003,0.1028116157795081,put,-0.6,0.2161209561985433,0.97,-0.08000000000000411
