,Unnamed: 0_atm,交易日期,行权价_atm,成交量(手)_atm,到期剩余天数_atm,期权代码_atm,收盘价_atm,到期ETF收盘价_atm,现期ETF收盘价_atm,monthly_RV_atm,option_type_atm,期权收益率_atm,IV_atm,在值程度_atm,Unnamed: 0_otm,行权价_otm,成交量(手)_otm,到期剩余天数_otm,期权代码_otm,收盘价_otm,到期ETF收盘价_otm,现期ETF收盘价_otm,monthly_RV_otm,option_type_otm,期权收益率_otm,IV_otm,在值程度_otm,Return
0,0,2016-02-02,1.95,1623.0,50,10000377.SH,0.1,2.171,1.975,0.4326345461511479,put,-0.6,0.3975412513259053,1,1,1.85,2685.0,50,10000403.SH,0.06,2.171,1.975,0.4326345461511479,put,-0.6,0.4035740728257894,0.94,-0.6
1,2,2016-02-04,1.95,1789.0,48,10000377.SH,0.09,2.171,1.978,0.3996177842023125,put,-0.625,0.3742623113204837,1,7,1.85,2022.0,48,10000403.SH,0.05,2.171,1.978,0.3996177842023125,put,-0.625,0.3742553375805318,0.94,-0.625
2,3,2016-02-05,1.95,1146.0,47,10000377.SH,0.1,2.171,1.968,0.3933336070204802,put,-0.6382978723404256,0.3984919449347257,1,10,1.85,1201.0,47,10000403.SH,0.06,2.171,1.968,0.3933336070204802,put,-0.6382978723404256,0.4072185374037027,0.94,-0.6382978723404256
3,6,2016-02-17,2.0,6489.0,35,10000378.SH,0.09,2.171,2.013,0.3225671699742978,put,-0.8571428571428571,0.3979386948985457,1,20,1.9,2796.0,35,10000404.SH,0.04,2.171,2.013,0.3225671699742978,put,-0.8571428571428571,0.3574239479859769,0.94,-0.8571428571428571
4,7,2016-02-18,2.0,5183.0,34,10000378.SH,0.09,2.171,2.011,0.3220758363510367,put,-0.8823529411764706,0.3997927560518979,1,24,1.9,3264.0,34,10000404.SH,0.04,2.171,2.011,0.3220758363510367,put,-0.8823529411764706,0.3597687339344025,0.94,-0.8823529411764706
5,10,2016-02-23,2.0,14830.0,29,10000378.SH,0.06,2.171,2.03,0.3189868014943113,put,-1.0344827586206895,0.3342790587596298,1,36,1.9,4790.0,29,10000404.SH,0.02,2.171,2.03,0.3189868014943113,put,-1.0344827586206895,0.3013671785099506,0.94,-1.0344827586206897
6,17,2016-03-11,2.0,1006.0,47,10000581.SH,0.08,2.144,2.066,0.3092935194711487,put,-0.6382978723404256,0.3868596274858117,1,58,1.95,1840.0,47,10000580.SH,0.06,2.144,2.066,0.3092935194711487,put,-0.6382978723404256,0.3849338023760318,0.94,-0.6382978723404256
7,18,2016-03-14,2.05,3470.0,44,10000582.SH,0.09,2.144,2.076,0.3073288921187354,put,-0.6818181818181818,0.3685389569815397,1,61,1.95,3472.0,44,10000580.SH,0.05,2.144,2.076,0.3073288921187354,put,-0.6818181818181818,0.3688500334670841,0.94,-0.6818181818181818
8,20,2016-03-16,2.05,5974.0,42,10000582.SH,0.08,2.144,2.135,0.3078278929323906,put,-0.7142857142857143,0.4241516124714017,1,70,2.0,3821.0,42,10000581.SH,0.06,2.144,2.135,0.3078278929323906,put,-0.7142857142857143,0.4192819750327169,0.94,-0.7142857142857143
9,21,2016-03-17,2.1,5620.0,41,10000583.SH,0.08,2.144,2.132,0.2979941734397952,put,-0.7317073170731707,0.3455470131972135,1,74,2.0,5998.0,41,10000581.SH,0.04,2.144,2.132,0.2979941734397952,put,-0.7317073170731707,0.3371241062415242,0.94,-0.7317073170731707
