,交易日期,CV_1,intensity_1,size_1,sizevol_1
91,2016-06-20,5.4148157717179476e-05,0,0.0,0.0
92,2016-06-21,0.00010868540113096218,0,0.0,0.0
93,2016-06-22,9.01125838728079e-05,0,0.0,0.0
94,2016-06-23,5.160874853783606e-05,0,0.0,0.0
95,2016-06-24,0.00012136401715721201,1,0.12215106146821256,3.0440179717683358
96,2016-06-27,6.461815988106865e-05,0,0.0,0.0
97,2016-06-28,5.472825237625662e-05,0,0.0,0.0
98,2016-06-29,5.8894117686272086e-05,0,0.0,0.0
99,2016-06-30,4.7311657637107485e-05,0,0.0,0.0
100,2016-07-01,4.08838451533592e-05,0,0.0,0.0
101,2016-07-04,6.558977090158051e-05,0,0.0,0.0
102,2016-07-05,5.48699123962658e-05,0,0.0,0.0
103,2016-07-06,5.194544737529327e-05,0,0.0,0.0
104,2016-07-07,5.888405691871332e-05,0,0.0,0.0
105,2016-07-08,4.395577163557581e-05,0,0.0,0.0
106,2016-07-11,8.098363138485989e-05,0,0.0,0.0
107,2016-07-12,8.130819646441626e-05,0,0.0,0.0
108,2016-07-13,9.45131394141593e-05,0,0.0,0.0
109,2016-07-14,5.578733813276295e-05,0,0.0,0.0
110,2016-07-15,5.0623409212965643e-05,0,0.0,0.0
111,2016-07-18,7.261827239528579e-05,0,0.0,0.0
112,2016-07-19,9.476537236255215e-05,0,0.0,0.0
113,2016-07-20,5.469284425090028e-05,0,0.0,0.0
114,2016-07-21,4.302501442068666e-05,1,0.07987199750241293,1.2057758839966954
115,2016-07-22,5.551903582664087e-05,0,0.0,0.0
116,2016-07-25,3.829611197182378e-05,0,0.0,0.0
117,2016-07-26,4.790490454852904e-05,0,0.0,0.0
118,2016-07-27,0.0001753093354775042,0,0.0,0.0
119,2016-07-28,0.00010545569539126902,0,0.0,0.0
120,2016-07-29,2.748188127166095e-05,1,0.0625573631554582,0.6731375436433064
121,2016-08-01,5.338206809453613e-05,1,0.08919776723969541,1.60721391189194
122,2016-08-02,3.587935762888728e-05,0,0.0,0.0
123,2016-08-03,3.8438461619429504e-05,0,0.0,0.0
124,2016-08-04,4.900893958380312e-05,0,0.0,0.0
125,2016-08-05,2.288873357278377e-05,1,0.05789444722396505,0.5296054594985137
126,2016-08-08,5.1068457835543084e-05,0,0.0,0.0
127,2016-08-09,2.8224051846441575e-05,1,0.06187797855532589,0.6547673484889339
128,2016-08-10,3.982613895188382e-05,0,0.0,0.0
129,2016-08-11,8.545296010892544e-05,0,0.0,0.0
130,2016-08-12,8.774984820351917e-05,0,0.0,0.0
131,2016-08-15,0.00015635753507271759,0,0.0,0.0
132,2016-08-16,9.165359239730439e-05,0,0.0,0.0
133,2016-08-17,6.62677809896009e-05,0,0.0,0.0
134,2016-08-18,6.097145791811274e-05,1,0.09241292847599135,1.6739279362839294
135,2016-08-19,5.635806544815003e-05,0,0.0,0.0
136,2016-08-22,6.101719253230079e-05,0,0.0,0.0
137,2016-08-23,5.4093991577731517e-05,0,0.0,0.0
138,2016-08-24,4.046645724380887e-05,0,0.0,0.0
139,2016-08-25,6.313484521331582e-05,0,0.0,0.0
140,2016-08-26,3.8300732310037835e-05,0,0.0,0.0
141,2016-08-29,4.687733400604951e-05,0,0.0,0.0
142,2016-08-30,3.15626135501605e-05,0,0.0,0.0
143,2016-08-31,4.139547158069913e-05,0,0.0,0.0
144,2016-09-01,2.6317547508048432e-05,1,0.06270683892804763,0.6842215839217636
145,2016-09-02,7.069680032460391e-05,0,0.0,0.0
146,2016-09-05,4.277495492914488e-05,0,0.0,0.0
147,2016-09-06,4.621018761705043e-05,0,0.0,0.0
148,2016-09-07,3.748774559654719e-05,0,0.0,0.0
149,2016-09-08,3.0186168792301214e-05,0,0.0,0.0
150,2016-09-09,2.559812688129786e-05,0,0.0,0.0
151,2016-09-12,5.465698877542526e-05,1,0.0878094479061098,1.5421533940882144
152,2016-09-13,3.3800920005678636e-05,0,0.0,0.0
153,2016-09-14,4.516708521758269e-05,0,0.0,0.0
154,2016-09-19,3.1494762853420096e-05,0,0.0,0.0
155,2016-09-20,2.4973744866845947e-05,0,0.0,0.0
156,2016-09-21,2.4510344170938e-05,0,0.0,0.0
157,2016-09-22,3.6122981888589706e-05,0,0.0,0.0
158,2016-09-23,2.263927960410165e-05,0,0.0,0.0
159,2016-09-26,2.5789440372651156e-05,0,0.0,0.0
160,2016-09-27,3.3487219600963986e-05,0,0.0,0.0
161,2016-09-28,2.2396202476368944e-05,0,0.0,0.0
162,2016-09-29,3.7933199260582444e-05,0,0.0,0.0
163,2016-09-30,2.2436712431639917e-05,0,0.0,0.0
164,2016-10-10,3.818469351042076e-05,0,0.0,0.0
165,2016-10-11,3.144488395498299e-05,0,0.0,0.0
166,2016-10-12,2.6483552670098126e-05,0,0.0,0.0
167,2016-10-13,2.8646747951524897e-05,0,0.0,0.0
168,2016-10-14,2.0333686619270538e-05,1,0.053792748650004045,0.480368250041856
169,2016-10-17,2.5242098016728685e-05,1,0.06146097719335555,0.68752233241334
170,2016-10-18,4.435159196594808e-05,0,0.0,0.0
171,2016-10-19,2.921150982125474e-05,0,0.0,0.0
172,2016-10-20,3.079325694073456e-05,0,0.0,0.0
173,2016-10-21,4.525296693097429e-05,0,0.0,0.0
174,2016-10-24,7.501612291114569e-05,0,0.0,0.0
175,2016-10-25,3.120316135807382e-05,0,0.0,0.0
176,2016-10-26,3.167508255177754e-05,0,0.0,0.0
177,2016-10-27,2.7863346298701013e-05,0,0.0,0.0
178,2016-10-28,5.2606435138682876e-05,0,0.0,0.0
179,2016-10-31,4.4315242841253974e-05,0,0.0,0.0
180,2016-11-01,2.2942760735793503e-05,1,0.059240395692765305,0.60715661457273
181,2016-11-02,3.901672205990168e-05,0,0.0,0.0
182,2016-11-03,6.227479468728915e-05,0,0.0,0.0
183,2016-11-04,4.4021344434169694e-05,0,0.0,0.0
184,2016-11-07,3.395666692671352e-05,0,0.0,0.0
185,2016-11-08,3.80243659212466e-05,0,0.0,0.0
186,2016-11-09,8.002647783778934e-05,0,0.0,0.0
187,2016-11-10,4.043380834602904e-05,0,0.0,0.0
188,2016-11-11,6.388656613616502e-05,0,0.0,0.0
189,2016-11-14,7.016731377828198e-05,0,0.0,0.0
190,2016-11-15,3.143411063218142e-05,0,0.0,0.0
191,2016-11-16,3.2773116148447406e-05,0,0.0,0.0
192,2016-11-17,3.983098807273544e-05,0,0.0,0.0
193,2016-11-18,3.901648745307581e-05,0,0.0,0.0
194,2016-11-21,7.384791438643255e-05,0,0.0,0.0
195,2016-11-22,5.179890989595324e-05,0,0.0,0.0
196,2016-11-23,5.773708524861441e-05,0,0.0,0.0
197,2016-11-24,3.1620387298183764e-05,1,0.07613801881411131,1.1478422339503203
198,2016-11-25,9.234950781700909e-05,0,0.0,0.0
199,2016-11-28,7.756252727848185e-05,0,0.0,0.0
200,2016-11-29,0.00013790594059157947,0,0.0,0.0
201,2016-11-30,9.137491678192996e-05,0,0.0,0.0
